name,class,ra,dec,size,status,file_path,error
J1049+4619,WAT,162.482875,46.322333,0.05,mock_created,agn_cutouts/agn_J1049+4619_WAT_ra162.482875_dec46.322333.fits,
J1051+5041,WAT,162.995792,50.699944,0.05,mock_created,agn_cutouts/agn_J1051+5041_WAT_ra162.995792_dec50.699944.fits,
J1057+4749,WAT,164.362375,47.824278,0.05,mock_created,agn_cutouts/agn_J1057+4749_WAT_ra164.362375_dec47.824278.fits,
J1101+5603,WAT,165.285417,56.055722,0.05,mock_created,agn_cutouts/agn_J1101+5603_WAT_ra165.285417_dec56.055722.fits,
J1105+4800,WAT,166.268625,48.012083,0.05,mock_created,agn_cutouts/agn_J1105+4800_WAT_ra166.268625_dec48.012083.fits,
J1112+5151,WAT,168.090292,51.857694,0.05,mock_created,agn_cutouts/agn_J1112+5151_WAT_ra168.090292_dec51.857694.fits,
J1113+4952,WAT,168.323333,49.866722,0.05,mock_created,agn_cutouts/agn_J1113+4952_WAT_ra168.323333_dec49.866722.fits,
J1114+4611,WAT,168.56875,46.187528,0.05,mock_created,agn_cutouts/agn_J1114+4611_WAT_ra168.568750_dec46.187528.fits,
J1115+4729,WAT,168.882,47.491583,0.05,mock_created,agn_cutouts/agn_J1115+4729_WAT_ra168.882000_dec47.491583.fits,
J1115+4834,WAT,168.921625,48.572056,0.05,mock_created,agn_cutouts/agn_J1115+4834_WAT_ra168.921625_dec48.572056.fits,
J1120+5308,WAT,170.170333,53.135944,0.05,mock_created,agn_cutouts/agn_J1120+5308_WAT_ra170.170333_dec53.135944.fits,
J1121+5421,WAT,170.307,54.359556,0.05,mock_created,agn_cutouts/agn_J1121+5421_WAT_ra170.307000_dec54.359556.fits,
J1124+5546,WAT,171.1045,55.770778,0.05,mock_created,agn_cutouts/agn_J1124+5546_WAT_ra171.104500_dec55.770778.fits,
J1127+5533,WAT,171.826667,55.558,0.05,mock_created,agn_cutouts/agn_J1127+5533_WAT_ra171.826667_dec55.558000.fits,
J1147+4917,WAT,176.965417,49.292028,0.05,mock_created,agn_cutouts/agn_J1147+4917_WAT_ra176.965417_dec49.292028.fits,
J1147+5548,WAT,176.815333,55.805389,0.05,mock_created,agn_cutouts/agn_J1147+5548_WAT_ra176.815333_dec55.805389.fits,
J1154+4949,WAT,178.553917,49.816944,0.05,mock_created,agn_cutouts/agn_J1154+4949_WAT_ra178.553917_dec49.816944.fits,
J1208+5458,WAT,182.024708,54.968667,0.05,mock_created,agn_cutouts/agn_J1208+5458_WAT_ra182.024708_dec54.968667.fits,
J1220+5334,WAT,185.20925,53.575944,0.05,mock_created,agn_cutouts/agn_J1220+5334_WAT_ra185.209250_dec53.575944.fits,
J1224+4905,WAT,186.052042,49.097722,0.05,mock_created,agn_cutouts/agn_J1224+4905_WAT_ra186.052042_dec49.097722.fits,
