name,class,ra_deg,dec_deg
J1049+4619,WAT,162.482875,46.322333
J1051+5041,WAT,162.995792,50.699944
J1057+4749,WAT,164.362375,47.824278
J1101+5603,WAT,165.285417,56.055722
J1105+4800,WAT,166.268625,48.012083
J1112+5151,WAT,168.090292,51.857694
J1113+4952,WAT,168.323333,49.866722
J1114+4611,WAT,168.56875,46.187528
J1115+4729,WAT,168.882,47.491583
J1115+4834,WAT,168.921625,48.572056
J1120+5308,WAT,170.170333,53.135944
J1121+5421,WAT,170.307,54.359556
J1124+5546,WAT,171.1045,55.770778
J1127+5533,WAT,171.826667,55.558
J1147+4917,WAT,176.965417,49.292028
J1147+5548,WAT,176.815333,55.805389
J1154+4949,WAT,178.553917,49.816944
J1208+5458,WAT,182.024708,54.968667
J1220+5334,WAT,185.20925,53.575944
J1224+4905,WAT,186.052042,49.097722
J1224+5419,WAT,186.207875,54.326167
J1236+5525,WAT,189.197625,55.419611
J1238+4838,WAT,189.74275,48.638472
J1247+4852,WAT,191.927208,48.868306
J1249+4954,WAT,192.413458,49.900861
J1303+4743,WAT,195.952125,47.7215
J1303+4935,WAT,195.865417,49.599028
J1303+5220,WAT,195.885333,52.336194
J1306+5144,WAT,196.545083,51.739611
J1315+4841,WAT,198.882583,48.686583
J1325+5617,WAT,201.26825,56.295083
J1330+4730,WAT,202.636125,47.515444
J1344+5552,WAT,206.18575,55.867583
J1346+5250,WAT,206.528833,52.838222
J1351+5216,WAT,207.961792,52.274917
J1359+4905,WAT,209.935542,49.092694
J1426+5547,WAT,216.526917,55.790694
J1428+5520,WAT,217.17675,55.347639
J1431+4743,WAT,217.960583,47.732528
J1434+4951,WAT,218.674792,49.852694
J1439+5631,WAT,219.8305,56.527611
J1446+4841,WAT,221.528042,48.694444
J1459+4947,WAT,224.927542,49.788194
J1459+5334,WAT,224.899833,53.572167
J1523+5255,WAT,230.86275,52.918722
J1132+5459,NAT,173.00825,54.99775
J1147+4805,NAT,176.951792,48.097
J1207+4805,NAT,181.831,48.099639
J1325+5544,NAT,201.45175,55.737417
J1329+5246,NAT,202.289625,52.771083
J1347+5022,NAT,206.754292,50.371639
J1431+5518,NAT,217.818042,55.313861
J1505+4706,NAT,226.410292,47.106222
J1506+5311,NAT,226.512917,53.185917
J1510+5146,NAT,227.5145,51.774472
